epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,746.672,1.23036,2.33574,1.25224,0.72405,0.70992,0.73019,0.34955,1.71278,2.83011,1.43899,0.000472523,0.000472523,0.000472523
2,1523.83,1.26495,1.72199,1.27376,0.65624,0.59542,0.59137,0.26075,1.78772,2.34972,1.53029,0.000911281,0.000911281,0.000911281
3,2300.01,1.32917,1.56994,1.30874,0.96286,0.59371,0.74724,0.37685,1.74886,1.68745,1.52867,0.00131231,0.00131231,0.00131231
4,3075.32,1.30163,1.36454,1.28942,0.81651,0.63359,0.73783,0.38636,1.66031,1.42751,1.38476,0.00125923,0.00125923,0.00125923
5,3843.06,1.27164,1.2452,1.26895,0.89033,0.71756,0.82797,0.43137,1.77155,1.21238,1.57717,0.00120265,0.00120265,0.00120265
6,4570.39,1.24497,1.15283,1.25356,0.92521,0.75546,0.83487,0.43879,1.59539,1.07809,1.39383,0.00114606,0.00114606,0.00114606
7,5284.11,1.19989,1.07417,1.23065,0.8799,0.80153,0.87228,0.46394,1.63764,0.98108,1.36659,0.00108947,0.00108947,0.00108947
8,5983.68,1.20943,1.04494,1.22073,0.89612,0.74046,0.83757,0.44808,1.7103,1.04962,1.43977,0.00103288,0.00103288,0.00103288
9,7328.83,1.18152,1.0061,1.20688,0.84286,0.83969,0.88751,0.48102,1.60531,1.00962,1.34566,0.000976293,0.000976293,0.000976293
10,12759,1.1504,0.93154,1.19204,0.92291,0.82245,0.89954,0.48199,1.5826,0.92226,1.31131,0.000919704,0.000919704,0.000919704
11,19473.8,1.14452,0.90591,1.18115,0.9552,0.81383,0.91173,0.49069,1.49271,0.96799,1.315,0.000863116,0.000863116,0.000863116
12,24387.3,1.12927,0.87726,1.17126,0.91513,0.87786,0.91214,0.48968,1.60806,0.85188,1.33788,0.000806528,0.000806528,0.000806528
13,30098.5,1.10857,0.82675,1.15893,0.93504,0.87023,0.90014,0.49099,1.59919,0.83842,1.29826,0.000749939,0.000749939,0.000749939
14,31776.6,1.08478,0.80665,1.15187,0.88384,0.87126,0.92514,0.5022,1.56439,0.77819,1.28644,0.000693351,0.000693351,0.000693351
15,34048.4,1.10246,0.79434,1.1531,0.90638,0.82443,0.87881,0.4971,1.60638,0.86501,1.31382,0.000636762,0.000636762,0.000636762
16,35935.3,1.08203,0.71474,1.13318,0.94437,0.8626,0.92748,0.50456,1.61081,0.77387,1.32496,0.000580174,0.000580174,0.000580174
17,36832.5,1.0584,0.69079,1.12227,0.89431,0.9043,0.93488,0.51325,1.61197,0.71674,1.30754,0.000523586,0.000523586,0.000523586
18,41756.4,1.04888,0.64983,1.11453,0.93609,0.89445,0.93864,0.5011,1.52292,0.71245,1.27139,0.000466997,0.000466997,0.000466997
19,42573.7,1.03207,0.62659,1.11149,0.92663,0.90076,0.94464,0.51846,1.50972,0.68801,1.28327,0.000410409,0.000410409,0.000410409
20,43262.3,1.00858,0.60616,1.09173,0.90817,0.89313,0.93658,0.51796,1.49208,0.70615,1.27616,0.00035382,0.00035382,0.00035382
21,44099,1.00799,0.59539,1.08977,0.90604,0.87023,0.92471,0.52068,1.5169,0.71054,1.26282,0.000297232,0.000297232,0.000297232
22,44911.4,0.99367,0.56047,1.08788,0.94161,0.86173,0.91867,0.49713,1.53915,0.73259,1.28868,0.000240644,0.000240644,0.000240644
23,45644.3,0.96259,0.54845,1.06267,0.96571,0.8626,0.93308,0.53913,1.50057,0.68152,1.24999,0.000184055,0.000184055,0.000184055
24,46341,0.94247,0.53555,1.0648,0.93522,0.8816,0.9361,0.51587,1.53928,0.6797,1.29207,0.000127467,0.000127467,0.000127467
25,47030.7,0.93323,0.50658,1.0548,0.94526,0.87786,0.93621,0.5244,1.50365,0.68162,1.2714,7.08784e-05,7.08784e-05,7.08784e-05
